Corporate Bond Purchase Auction Data,,,,,,,,,,,,,,
Attribution: Bank of England,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Operation date,"Ticker (d)
",ISIN,Reference instrument,Reference yield (%),Settlement date,Total offers received (nominal £mn),Allocation (nominal £mn),Allocation (proceeds £mn),Clearing spread (bps)(a),Clearing yield (%),Clearing price (£)(b),Allocated at clearing spread (%)(c),,
25/03/2009,AALLN 6 7/8 05/01/18,XS0361024895,UKT 5 03/18,3.210,30/03/2009,38.0,5.20,4.97,523,8.44,89.293,-,,
25/03/2009,BATSLN 6 3/8 12/12/19,XS0182188366,UKT 4.5 03/19,3.379,30/03/2009,5.0,-,-,-,-,-,-,,
25/03/2009,BRITEL 6 5/8 06/23/17,XS0306772939,UKT 4 09/16,2.888,30/03/2009,31.8,5.10,4.96,491,7.798,92.165,-,,
25/03/2009,BRITEL 8 5/8 03/26/20,XS0052067583,UKT 4.75 03/20,3.551,30/03/2009,11.0,4.90,4.97,472,8.271,101.274,-,,
25/03/2009,BRK 8 7/8 10/16/20,XS0060490017,UKT 4.75 03/20,3.551,30/03/2009,4.6,1.50,1.89,250,6.051,122.066,-,,
25/03/2009,BRK 9 1/4 01/17/20,XS0055251010,,,30/03/2009,0.0,-,-,0,-,-,-,,
25/03/2009,KFT 7 1/4 07/18/18,XS0377058614,UKT 5 03/18,3.210,30/03/2009,20.0,4.50,4.99,270,5.91,109.472,-,,
25/03/2009,CENTRI 7 09/19/18,XS0388006552,UKT 5 03/18,3.210,30/03/2009,22.2,4.40,4.95,246,5.67,108.887,-,,
25/03/2009,EDF 6 7/8 12/12/22,XS0403958498,UKT 4.75 03/20,3.551,30/03/2009,6.0,4.30,4.98,180,5.351,113.757,-,,
25/03/2009,FGPLN 6 1/8 01/18/19,XS0181013607,UKT 4.5 03/19,3.379,30/03/2009,14.0,5.00,4.35,475,8.129,85.781,-,,
