Gilt Purchase Auction Data,,,,,,,,,,,,,,,
Attribution: Bank of England,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Operation date,Settlement date,ISIN,"Bond
",Total offers received (proceeds £mn),Total allocation (proceeds £mn),Total allocation (nominal £mn),Allocation of which non-competitive (nominal £mn),Weighted Average Accepted Yield (%),Weighted Average Accepted Price,Highest accepted price,Allocated at highest price (%),Lowest accepted price,"Tail (a)
",,
11/03/2009,12/03/2009,GB0031829509,UKT_5_070914,4078.5,338.8,295.0,-,2.129,114.792,114.860,100.00,114.729,0.07,,
11/03/2009,12/03/2009,GB0033280339,UKT_4.75_070915,957.7,439.9,384.0,-,2.331,114.486,114.550,100.00,114.400,0.06,,
11/03/2009,12/03/2009,GB0008881541,UKT_8_071215,620.0,241.0,176.0,-,2.373,134.846,134.900,100.00,134.769,0.05,,
11/03/2009,12/03/2009,GB00B0V3WX43,UKT_4_070916,767.9,152.8,139.0,-,2.544,109.870,109.950,100.00,109.750,0.08,,
11/03/2009,12/03/2009,GB0008931148,UKT_8.75_250817,945.5,97.3,67.0,-,2.771,144.810,144.880,100.00,144.720,0.07,,
11/03/2009,12/03/2009,GB00B1VWPC84,UKT_5_070318,3138.7,730.1,622.7,-,2.822,117.179,117.300,35.40,117.050,0.12,,
16/03/2009,17/03/2009,GB00B058DQ55,UKT_4.75_070320,1144.8,345.4,301.0,2.00,3.163,114.621,114.650,100.00,114.590,0.03,,
16/03/2009,17/03/2009,GB0009997999,UKT_8_070621,2416.9,814.4,541.1,2.00,3.194,148.315,148.388,0.48,148.250,0.07,,
16/03/2009,17/03/2009,GB00B16NNR78,UKT_4.25_071227,1384.1,243.8,222.0,3.00,3.609,108.663,108.754,100.00,108.600,0.09,,
16/03/2009,17/03/2009,GB0002404191,UKT_6_071228,548.3,92.0,68.0,-,3.606,133.579,133.600,100.00,133.540,0.02,,
16/03/2009,17/03/2009,GB00B24FF097,UKT_4.75_071230,847.7,394.7,338.0,-,3.707,115.456,115.531,100.00,115.300,0.08,,
16/03/2009,17/03/2009,GB0004893086,UKT_4.25_070632,345.4,108.2,99.0,-,3.722,108.160,108.250,100.00,108.113,0.09,,
18/03/2009,19/03/2009,GB0031829509,UKT_5_070914,4250.8,1275.5,1115.0,-,2.221,114.233,114.290,100.00,114.188,0.06,,
18/03/2009,19/03/2009,GB0033280339,UKT_4.75_070915,2801.5,168.0,147.0,-,2.382,114.113,114.120,100.00,114.100,0.01,,
18/03/2009,19/03/2009,GB0008881541,UKT_8_071215,2528.3,384.2,281.0,-,2.411,134.476,134.500,100.00,134.450,0.02,,
18/03/2009,19/03/2009,GB00B0V3WX43,UKT_4_070916,2919.2,226.2,206.0,5.00,2.566,109.686,109.700,100.00,109.670,0.01,,
18/03/2009,19/03/2009,GB0008931148,UKT_8.75_250817,594.7,7.2,5.0,-,2.817,144.280,144.280,100.00,144.280,0.00,,
18/03/2009,19/03/2009,GB00B1VWPC84,UKT_5_070318,5093.4,461.8,396.0,-,2.903,116.451,116.490,100.00,116.420,0.04,,
18/03/2009,19/03/2009,GB00B39R3F84,UKT_4.5_070319,3801.2,471.2,419.4,4.00,3.070,112.199,112.220,59.76,112.158,0.02,,
23/03/2009,24/03/2009,GB00B058DQ55,UKT_4.75_070320,908.5,0.0,0.0,-,0.000,0.000,0.000,0.00,0.000,0.00,,
23/03/2009,24/03/2009,GB0009997999,UKT_8_070621,3845.0,1339.8,896.7,-,3.287,147.060,147.100,36.89,147.030,0.04,,
23/03/2009,24/03/2009,GB00B16NNR78,UKT_4.25_071227,1645.4,824.7,764.0,6.00,3.748,106.695,106.770,100.00,106.630,0.07,,
23/03/2009,24/03/2009,GB0002404191,UKT_6_071228,504.1,202.4,152.0,2.00,3.733,131.425,131.500,100.00,131.290,0.07,,
23/03/2009,24/03/2009,GB00B24FF097,UKT_4.75_071230,599.4,25.4,22.0,1.00,3.804,113.881,113.900,100.00,113.860,0.02,,
23/03/2009,24/03/2009,GB0004893086,UKT_4.25_070632,495.1,108.0,100.0,-,3.809,106.750,106.910,100.00,106.590,0.16,,
25/03/2009,26/03/2009,GB0031829509,UKT_5_070914,336.4,226.6,201.0,-,2.533,112.482,112.620,100.00,112.450,0.14,,
25/03/2009,26/03/2009,GB0008881541,UKT_8_071215,1449.3,1198.3,892.0,-,2.747,131.945,132.200,100.00,131.850,0.26,,
25/03/2009,26/03/2009,GB00B0V3WX43,UKT_4_070916,419.7,300.3,279.0,-,2.886,107.418,107.520,100.00,107.300,0.10,,
25/03/2009,26/03/2009,GB0008931148,UKT_8.75_250817,973.0,841.9,593.0,-,3.135,141.270,141.550,100.00,141.165,0.28,,
25/03/2009,26/03/2009,GB00B1VWPC84,UKT_5_070318,1013.8,402.9,353.0,-,3.204,113.878,114.090,100.00,113.770,0.21,,
25/03/2009,26/03/2009,GB00B39R3F84,UKT_4.5_070319,709.6,529.9,482.7,-,3.363,109.541,109.690,68.98,109.370,0.15,,
30/03/2009,31/03/2009,GB00B058DQ55,UKT_4.75_070320,891.5,539.9,479.0,-,3.382,112.414,112.590,100.00,112.370,0.18,,
30/03/2009,31/03/2009,GB0009997999,UKT_8_070621,837.6,83.0,56.0,-,3.395,145.636,145.710,100.00,145.580,0.07,,
30/03/2009,31/03/2009,GB0030880693,UKT_5_070325,963.1,716.5,633.0,-,3.908,112.860,113.100,100.00,112.750,0.24,,
30/03/2009,31/03/2009,GB00B16NNR78,UKT_4.25_071227,721.4,381.5,364.0,-,3.983,103.486,103.730,100.00,103.397,0.24,,
30/03/2009,31/03/2009,GB0002404191,UKT_6_071228,629.7,239.8,185.1,-,3.962,127.666,128.000,21.00,127.490,0.33,,
30/03/2009,31/03/2009,GB00B24FF097,UKT_4.75_071230,662.0,384.4,344.0,-,4.036,110.243,110.470,100.00,110.062,0.23,,
30/03/2009,31/03/2009,GB0004893086,UKT_4.25_070632,380.1,154.9,148.0,-,4.028,103.327,103.501,100.00,103.198,0.17,,
01/04/2009,02/04/2009,GB0031829509,UKT_5_070914,1016.0,847.5,743.0,-,2.298,113.718,113.970,100.00,113.520,0.25,,
01/04/2009,02/04/2009,GB0008881541,UKT_8_071215,1079.9,771.5,567.0,-,2.518,133.510,134.000,100.00,133.260,0.49,,
01/04/2009,02/04/2009,GB00B0V3WX43,UKT_4_070916,790.8,731.0,669.8,-,2.678,108.855,109.400,81.60,108.600,0.55,,
01/04/2009,02/04/2009,GB0008931148,UKT_8.75_250817,451.0,356.8,246.0,-,2.809,144.179,144.380,100.00,143.930,0.20,,
01/04/2009,02/04/2009,GB00B1VWPC84,UKT_5_070318,1022.6,793.1,678.0,-,2.876,116.623,117.080,100.00,116.290,0.46,,
06/04/2009,07/04/2009,GB00B058DQ55,UKT_4.75_070320,1625.5,0.0,0.0,-,0.000,0.000,0.000,0.00,0.000,0.00,,
06/04/2009,07/04/2009,GB0009997999,UKT_8_070621,4263.1,2050.2,1401.6,-,3.553,143.614,143.650,40.16,143.600,0.04,,
06/04/2009,07/04/2009,GB0030880693,UKT_5_070325,837.3,112.0,101.0,-,4.098,110.470,110.487,100.00,110.430,0.02,,
06/04/2009,07/04/2009,GB00B16NNR78,UKT_4.25_071227,458.3,17.4,17.0,-,4.184,100.840,100.840,100.00,100.840,0.00,,
06/04/2009,07/04/2009,GB0002404191,UKT_6_071228,650.4,74.7,59.0,-,4.156,124.607,124.610,100.00,124.600,0.00,,
06/04/2009,07/04/2009,GB00B24FF097,UKT_4.75_071230,909.0,245.6,225.0,-,4.214,107.561,107.650,100.00,107.420,0.09,,
06/04/2009,07/04/2009,GB0004893086,UKT_4.25_070632,380.5,0.0,0.0,-,0.000,0.000,0.000,0.00,0.000,0.00,,
08/04/2009,09/04/2009,GB0031829509,UKT_5_070914,1482.6,862.3,765.0,-,2.557,112.268,112.540,100.00,112.200,0.27,,
08/04/2009,09/04/2009,GB0033280339,UKT_4.75_070915,1366.8,873.7,781.0,-,2.788,111.445,111.760,100.00,111.180,0.32,,
08/04/2009,09/04/2009,GB0008881541,UKT_8_071215,218.5,117.0,87.0,-,2.744,131.801,132.100,100.00,131.570,0.30,,
08/04/2009,09/04/2009,GB00B0V3WX43,UKT_4_070916,469.9,176.8,164.0,-,2.874,107.463,107.700,100.00,107.260,0.24,,
08/04/2009,09/04/2009,GB0008931148,UKT_8.75_250817,396.5,288.4,202.0,-,3.065,141.730,141.990,100.00,141.400,0.26,,
08/04/2009,09/04/2009,GB00B1VWPC84,UKT_5_070318,2621.5,1181.7,1029.5,-,3.143,114.335,114.650,51.00,114.000,0.31,,
14/04/2009,15/04/2009,GB00B058DQ55,UKT_4.75_070320,1116.4,0.0,0.0,-,0.000,0.000,0.000,0.00,0.000,0.00,,
14/04/2009,15/04/2009,GB0009997999,UKT_8_070621,5162.1,2786.8,1875.2,-,3.374,145.778,145.810,75.04,145.750,0.03,,
14/04/2009,15/04/2009,GB0030880693,UKT_5_070325,893.0,136.1,121.0,-,3.978,111.948,111.970,100.00,111.940,0.02,,
14/04/2009,15/04/2009,GB00B16NNR78,UKT_4.25_071227,447.2,60.3,58.0,-,4.064,102.416,102.420,100.00,102.390,0.00,,
14/04/2009,15/04/2009,GB0002404191,UKT_6_071228,531.1,16.7,13.0,-,4.043,126.350,126.350,100.00,126.350,0.00,,
14/04/2009,15/04/2009,GB00B24FF097,UKT_4.75_071230,748.8,0.0,0.0,-,0.000,0.000,0.000,0.00,0.000,0.00,,
14/04/2009,15/04/2009,GB0004893086,UKT_4.25_070632,527.1,0.0,0.0,-,0.000,0.000,0.000,0.00,0.000,0.00,,
15/04/2009,16/04/2009,GB0031829509,UKT_5_070914,2419.9,1394.6,1225.0,-,2.357,113.304,113.400,100.00,113.220,0.10,,
15/04/2009,16/04/2009,GB0033280339,UKT_4.75_070915,669.6,152.8,135.0,-,2.590,112.647,112.700,100.00,112.587,0.05,,
15/04/2009,16/04/2009,GB0008881541,UKT_8_071215,161.0,62.6,46.0,-,2.545,133.144,133.250,100.00,133.100,0.11,,
15/04/2009,16/04/2009,GB00B0V3WX43,UKT_4_070916,322.1,108.2,99.0,-,2.673,108.843,108.890,100.00,108.770,0.05,,
15/04/2009,16/04/2009,GB0008931148,UKT_8.75_250817,403.4,131.6,91.0,-,2.868,143.452,143.600,100.00,143.410,0.15,,
15/04/2009,16/04/2009,GB00B1VWPC84,UKT_5_070318,2056.0,384.8,330.0,20.00,2.934,116.063,116.080,100.00,115.980,0.02,,
15/04/2009,16/04/2009,GB00B39R3F84,UKT_4.5_070319,1955.4,1268.6,1137.1,-,3.185,111.075,111.300,70.17,111.040,0.22,,
20/04/2009,21/04/2009,GB00B058DQ55,UKT_4.75_070320,1987.3,618.4,551.0,20.00,3.455,111.655,111.950,100.00,111.340,0.30,,
20/04/2009,21/04/2009,GB0009997999,UKT_8_070621,869.4,501.4,339.0,-,3.437,144.938,145.290,4.00,144.570,0.35,,
20/04/2009,21/04/2009,GB0030880693,UKT_5_070325,622.6,405.8,365.0,-,4.089,110.558,111.050,100.00,110.230,0.49,,
20/04/2009,21/04/2009,GB00B16NNR78,UKT_4.25_071227,510.6,316.6,309.0,10.00,4.180,100.900,101.430,100.00,100.580,0.53,,
20/04/2009,21/04/2009,GB0002404191,UKT_6_071228,813.2,455.9,360.0,-,4.166,124.417,124.960,100.00,124.094,0.54,,
20/04/2009,21/04/2009,GB00B24FF097,UKT_4.75_071230,729.0,661.4,611.0,-,4.287,106.480,107.150,100.00,106.200,0.67,,
20/04/2009,21/04/2009,GB0004893086,UKT_4.25_070632,855.6,543.1,535.0,-,4.253,99.946,100.500,100.00,99.600,0.55,,
21/04/2009,22/04/2009,GB0031829509,UKT_5_070914,6371.6,619.6,544.0,20.00,2.357,113.266,113.420,100.00,113.200,0.15,,
21/04/2009,22/04/2009,GB0033280339,UKT_4.75_070915,702.8,289.5,256.1,20.00,2.619,112.431,112.470,62.28,112.250,0.04,,
21/04/2009,22/04/2009,GB0008881541,UKT_8_071215,305.5,196.8,145.0,-,2.596,132.701,132.850,100.00,132.660,0.15,,
